vendedor_id,vendedor,regiao,fator_performance
1,Kevin Albuquerque,Sul,1.013
2,Dra. Carolina da Mota,Norte,1.075
3,Benjamim Novaes,Nordeste,1.291
4,Davi Lucas Porto,Centro-Oeste,0.629
5,Bella Albuquerque,Nordeste,0.894
6,Larissa Melo,Nordeste,1.106
7,Maysa Fernandes,Norte,0.715
8,Benjamim da Cunha,Sudeste,1.266
9,Bruna Azevedo,Centro-Oeste,1.066
10,Rebeca Barbosa,Sul,1.152
11,Ana Júlia Cassiano,Centro-Oeste,0.897
12,Kevin Barros,Sul,1.146
13,Dante Novais,Centro-Oeste,1.192
14,Heloisa Vasconcelos,Centro-Oeste,1.042
15,Maria Helena Machado,Sudeste,1.042
16,Letícia Pastor,Sudeste,1.049
